date,name,kpm,errors,place
2015-02-04,DarenaL,187,46,5
2015-02-04,Акциум,283,28,2
2015-02-04,trist,298,54,1
2015-02-04,LanaLana,145,16,11
2015-02-04,Axiviel,163,23,8
2015-02-04,Chrompy,145,23,12
2015-02-04,Stemira,142,39,13
2015-02-04,Learroy,207,38,3
2015-02-04,Серегина_Юлия,165,29,7
2015-02-04,zebra_1086,74,31,14
2015-02-04,golubeva,150,18,10
2015-02-04,Las402,157,19,9
2015-02-04,jimmywit,201,64,4
2015-02-04,nikysya,178,31,6
2015-02-06,DarenaL,196,27,5
2015-02-06,Акциум,264,28,2
2015-02-06,LanaLana,145,24,11
2015-02-06,trist,281,65,1
2015-02-06,jimmywit,211,56,4
2015-02-06,Las402,139,33,13
2015-02-06,Stemira,146,40,10
2015-02-06,Axiviel,182,14,6
2015-02-06,Серегина_Юлия,143,33,12
2015-02-06,golubeva,157,17,9
2015-02-06,Learroy,211,29,3
2015-02-06,Chrompy,166,24,8
2015-02-06,Мария_Михална,131,13,14
2015-02-06,nikysya,178,30,7
2015-02-10,DarenaL,222,36,4
2015-02-10,Акциум,287,25,1
2015-02-10,Stemira,151,28,7
2015-02-10,jimmywit,225,67,2
2015-02-10,Серегина_Юлия,192,17,5
2015-02-10,wowanama,224,41,3
2015-02-10,Margarita_Shiki,168,38,6
2015-02-12,DarenaL,217,35,5
2015-02-12,Акциум,300,31,2
2015-02-12,jimmywit,251,51,3
2015-02-12,wowanama,235,41,4
2015-02-12,trist,315,71,1
2015-02-12,Axiviel,178,26,9
2015-02-12,golubeva,172,19,10
2015-02-12,Margarita_Shiki,186,50,8
2015-02-12,Stemira,158,27,11
2015-02-12,КатеринаС,208,33,6
2015-02-12,nikysya,186,36,7
2015-02-17,DarenaL,209,23,5
2015-02-17,Акциум,300,25,3
2015-02-17,trist,316,65,2
2015-02-17,Stemira,163,31,10
2015-02-17,КатеринаС,218,25,4
2015-02-17,Chrompy,182,25,8
2015-02-17,Серегина_Юлия,191,32,6
2015-02-17,nikysya,190,35,7
2015-02-17,golubeva,176,22,9
2015-02-17,dim-rudakov,347,43,1
2015-02-17,Las402,161,27,11
2015-02-19,DarenaL,203,49,6
2015-02-19,Акциум,294,28,3
2015-02-19,dim-rudakov,335,53,1
2015-02-19,trist,315,60,2
2015-02-19,Learroy,221,40,4
2015-02-19,КатеринаС,217,32,5
2015-02-19,nikysya,171,43,7
2015-02-25,DarenaL,220,45,5
2015-02-25,Акциум,293,38,2
2015-02-25,Stemira,157,35,8
2015-02-25,КатеринаС,229,32,4
2015-02-25,trist,323,75,1
2015-02-25,Las402,185,23,7
2015-02-25,wowanama,245,35,3
2015-02-25,nikysya,204,33,6
2015-02-27,DarenaL,211,42,3
2015-02-27,Stemira,148,39,6
2015-02-27,golubeva,171,17,4
2015-02-27,trist,325,60,1
2015-02-27,Las402,165,30,5
2015-02-27,wowanama,235,34,2
2015-03-06,DarenaL,210,37,4
2015-03-06,Акциум,290,21,3
2015-03-06,trist,339,45,1
2015-03-06,wowanama,207,61,5
2015-03-06,Margarita_Shiki,194,49,6
2015-03-06,golubeva,174,15,7
2015-03-11,DarenaL,204,36,5
2015-03-11,Акциум,290,22,2
2015-03-11,wowanama,225,41,4
2015-03-11,trist,319,56,1
2015-03-11,Margarita_Shiki,189,54,6
2015-03-11,Axiviel,174,12,7
2015-03-13,DarenaL,226,27,4
2015-03-13,Акциум,297,23,2
2015-03-13,trist,329,65,1
2015-03-13,Learroy,216,38,5
2015-03-13,wowanama,250,42,3
2015-03-18,DarenaL,204,37,4
2015-03-18,Акциум,264,31,3
2015-03-18,Las402,154,24,7
2015-03-18,Stemira,158,29,6
2015-03-18,trist,312,63,1
2015-03-18,wowanama,193,34,5
2015-03-20,DarenaL,229,37,4
2015-03-20,Stemira,173,25,5
2015-03-20,trist,328,61,1
2015-03-20,Акциум,280,25,2
2015-03-20,wowanama,258,31,3
2015-03-25,DarenaL,227,37,4
2015-03-25,Акциум,316,30,2
2015-03-25,trist,353,61,1
2015-03-25,Stemira,169,26,7
2015-03-25,Margarita_Shiki,208,56,5
2015-03-25,wowanama,244,47,3
2015-03-25,Серегина_Юлия,208,21,6
2015-03-25,golubeva,153,28,8
2015-03-27,DarenaL,224,36,4
2015-03-27,Акциум,284,22,2
2015-03-27,trist,297,57,1
2015-03-27,Stemira,166,21,7
2015-03-27,golubeva,174,22,6
2015-03-27,Серегина_Юлия,188,27,5
2015-03-27,wowanama,234,32,3
